donor_id,email_primary,mobile,address_line1,city,postcode,acquisition_date,acquisition_channel,donor_status,communication_preference,email_secondary,landline,address_line2,county,data_source,record_created_date,record_modified_date,full_name
1000,paul.duffy@gmail.com,0191 4960489,"Studio 57
Brown rapid",Manchester,DL5 0SB,2022-03-31,Legacy,Active,Post,,,,,CRM,2022-03-31,2023-03-04,Paul Duffy
1001,victor.lambert@btinternet.com,,9 Patterson alley,Newcastle,MT89 2JU,2023-11-29,Online,Active,Email,,,Flat 32i,,CRM,2023-11-29,2025-04-22,Victor Lambert
1002,,0161 4960442,33 Lawrence centers,Reynoldsland,RH2 6PD,2020-01-01,Telemarkating,Active,Post,,,,Devon,CRM,2020-01-01,2021-03-22,Molly Roberts
1003,francesca.cox@btinternet.com,+44292018732,158 Leslie overpass,Nottingham,G5 4ND,2024-06-22,Online,Active,None,,,,Merseyside,CRM,2024-06-22,2025-03-11,Francesca Cox
1004,andrew.jones@gmail.com,+44(0)1164960319,9 Sharon roads,Birmingham,ZE7B 2ZF,2024-03-14,Online,Lapsed,Email,,(0114)4960138,,Staffordshire,CRM,2024-03-14,2024-08-10,Andrew Jones
1005,cheryl.murray@outlook.com,(0113) 4960106,989 Newton circle,Port Lynneberg,SP7 7SQ,2021-06-26,Online,Active,Post,,(0113)4960399,,,CRM,2021-06-26,2021-07-22,Cheryl Murray
1006,,0191 4960711,"Flat 97g
Allen groves",New Mohammadburgh,TF3M 1EU,2022-11-21,Online,Active,Post,,,Studio 59,Derry and Londonderry,CRM,2022-11-21,2024-03-25,Kerry Brown
1007,,,"Studio 3
Lewis corners",Bristol,CV57 8XL,2021-11-06,Online,Active,Email,,+441144960513,,Radnorshire,CRM,2021-11-06,2021-12-29,Rosemary Reed
1008,eric.simpson@btinternet.com,(0161) 4960142,"Studio 12V
Harriet junctions",Bristol,E8 2YQ,2023-05-12,Event,Active,Email,,0306 999 0805,,,CRM,2023-05-12,2025-02-07,Eric Simpson
1009,francis.ali@gmail.com,020 7946 0820,"Flat 63B
Gary viaduct",Naomiview,SW0 1QT,2023-04-29,Direct Mail,Active,Email,,,,Scottish Borders,CRM,2023-04-29,2023-09-11,Francis Ali
1010,,,788 Brown shoals,Leeds,W2 6ZN,2023-01-13,Online,Active,Email,,,Studio 29,North Ayrshire,CRM,2023-01-13,2023-04-29,Kate Bell
1011,geoffrey.bell@outlook.com,+44(0)113 4960599,"Flat 94X
Taylor road",Birmingham,NN84 4LF,2024-12-18,Legacy,Lapsed,Phone,,,Studio 38,Gloucestershire,CRM,2024-12-18,2026-03-28,Geoffrey Bell
1012,david.grant@gmail.com,(0116)4960688,"Flat 00
Howard stream",Birmingham,W9F 6ES,2022-05-05,Online,Active,Post,,01614960578,,Glamorgan,CRM,2022-05-05,2023-04-26,David Grant
1013,scott.wilkins@hotmail.co.uk,0121 4960628,"Flat 06
Kemp mission",Nigelton,HP2 1FY,2022-06-02,Online,Active,Email,,,,West Midlands,CRM,2022-06-02,2024-04-22,Scott Wilkins
