donor_id,first_name,last_name,email,phone,address_line1,city,postcode,acquisition_date,acquisition_channel,donor_status,communication_preference
1000,Paul,Duffy,paul.duffy@gmail.com,0191 4960489,"Studio 57
Brown rapid",Manchester,DL5 0SB,2022-03-31,Legacy,Active,Post
1001,Victor,Lambert,victor.lambert@btinternet.com,,9 Patterson alley,Newcastle,MT89 2JU,2023-11-29,Online,Active,Email
1002,Molly,Roberts,,0161 4960442,33 Lawrence centers,Reynoldsland,RH2 6PD,2020-01-01,Telemarkating,Active,Post
1003,Francesca,Cox,francesca.cox@btinternet.com,+44292018732,158 Leslie overpass,Nottingham,G5 4ND,2024-06-22,Online,Active,None
1004,Andrew,Jones,andrew.jones@gmail.com,+44(0)1164960319,9 Sharon roads,Birmingham,ZE7B 2ZF,2024-03-14,Online,Lapsed,Email
1005,Cheryl,Murray,cheryl.murray@outlook.com,(0113) 4960106,989 Newton circle,Port Lynneberg,SP7 7SQ,2021-06-26,Online,Active,Post
1006,Kerry,Brown,,0191 4960711,"Flat 97g
Allen groves",New Mohammadburgh,TF3M 1EU,2022-11-21,Online,Active,Post
1007,Rosemary,Reed,,,"Studio 3
Lewis corners",Bristol,CV57 8XL,2021-11-06,Online,Active,Email
1008,Eric,Simpson,eric.simpson@btinternet.com,(0161) 4960142,"Studio 12V
Harriet junctions",Bristol,E8 2YQ,2023-05-12,Event,Active,Email
1009,Francis,Ali,francis.ali@gmail.com,020 7946 0820,"Flat 63B
Gary viaduct",Naomiview,SW0 1QT,2023-04-29,Direct Mail,Active,Email
1010,Kate,Bell,,,788 Brown shoals,Leeds,W2 6ZN,2023-01-13,Online,Active,Email
1011,Geoffrey,Bell,geoffrey.bell@outlook.com,+44(0)113 4960599,"Flat 94X
Taylor road",Birmingham,NN84 4LF,2024-12-18,Legacy,Lapsed,Phone
1012,David,Grant,david.grant@gmail.com,(0116)4960688,"Flat 00
Howard stream",Birmingham,W9F 6ES,2022-05-05,Online,Active,Post
1013,Scott,Wilkins,scott.wilkins@hotmail.co.uk,0121 4960628,"Flat 06
Kemp mission",Nigelton,HP2 1FY,2022-06-02,Online,Active,Email
1014,Tracey,Butcher,tracey.butcher@yahoo.co.uk,+44(0)1632960413,"Studio 84
Glenn throughway",Vincentview,S71 3NP,2020-11-02,Telemarkating,Active,Email
1015,Lindsey,Hawkins,lindsey.hawkins@yahoo.co.uk,+441184960089,66 Jasmine orchard,London,N21 4LS,2023-10-28,Online,Active,Post
1016,Dawn,Wallace,dawn.wallace@yahoo.co.uk,0306 9990515,149 Justin islands,Douglasbury,GU0 7LY,2023-06-07,Online,Active,None
1017,Jason,Mitchell,jason.mitchell@hotmail.co.uk,,"Studio 67
Duncan isle",London,W30 6BS,2024-09-21,Telemarkating,Lapsed,Phone
1018,Leon,Bailey,leon.bailey@yahoo.co.uk,(0141) 4960605,"Flat 1
Hughes mount",Newcastle,EC5 0DZ,2023-02-25,Telemarkating,Lapsed,Email
1019,Anna,Ellis,anna.ellis@outlook.com,+44(0)118 496 0193,"Studio 32
Steele grove",London,N6 8JG,2021-04-17,Online,Active,Email
1020,Jack,Lewis,,,"Studio 92n
Leonard bridge",New Hayley,DG6W 2XX,2022-06-04,Online,Lapsed,Phone
1021,Clive,Kelly,clive.kelly@btinternet.com,,81 Smith forges,Bristol,L8 7WW,2022-03-01,Online,Active,Post
1022,Louis,Stephenson,louis.stephenson@yahoo.co.uk,+44161 496 0995,2 Damien springs,London,B04 0XH,2021-09-14,Telemarkating,Active,Email
1023,Bethany,Morgan,bethany.morgan@btinternet.com,+44(0)151 496 0984,20 Hugh row,South Laura,B6 9QA,2024-05-09,Event,Active,Email
1024,Hannah,Bibi,hannah.bibi@hotmail.co.uk,(0113) 4960713,33 Brown oval,London,B6 9FR,2020-03-16,Telemarkating,Active,Post
1025,Heather,Lewis,heather.lewis@yahoo.co.uk,(0909) 8790582,34 Duffy rue,Dickinsonfurt,TF6 3YF,2024-02-07,Event,Active,Email
1026,Sheila,Ball,sheila.ball@yahoo.co.uk,+4420 7496 0097,"Studio 99
Powell isle",Port Scottshire,HD1 2YB,2022-08-24,Online,Active,Phone
1027,Rebecca,Shah,rebecca.shah@outlook.com,+44151 496 0341,69 Wendy lake,Port Lindaport,L1C 3TY,2023-09-09,Online,Lapsed,Email
1028,Leonard,Frost,leonard.frost@btinternet.com,(0118) 496 0838,95 Hamilton light,London,CW2E 8WG,2022-03-09,Online,Active,Post
1029,Sally,Webster,sally.webster@yahoo.co.uk,+44(0)1134960696,"Studio 9
Victor shore",Manchester,S9J 0JP,2023-06-09,Telemarkating,Active,Email
1030,Ashleigh,Smith,ashleigh.smith@gmail.com,0161 496 0867,"Flat 1
Ross tunnel",London,M6 6HP,2021-04-02,Event,Active,Post
1031,Barry,Wilson,barry.wilson@outlook.com,,"Flat 1
Jason trafficway",West Rosemaryton,EC82 4XE,2023-05-13,Event,Active,Email
1032,Molly,Williams,molly.williams@btinternet.com,+44(0)1164960693,"Studio 90
Scott brook",Newcastle,TS4Y 8TF,2023-07-01,Direct Mail,Active,Email
1033,Angela,Bradley,angela.bradley@outlook.com,+44(0)20 74960439,"Studio 0
Griffin ports",Sheffield,TQ9 0FD,2021-04-24,Online,Active,Post
1034,Paul,Smith,paul.smith@hotmail.co.uk,+44113 4960062,"Flat 3
Gray shoal",Nottingham,EH1 9TH,2022-05-15,Direct Mail,Deceased,Phone
1035,Rita,Archer,rita.archer@yahoo.co.uk,,9 Victor run,Lake Stuart,S0 4NJ,2021-08-28,Direct Mail,Active,Post
1036,Frederick,Jones,frederick.jones@gmail.com,+44(0)151 496 0332,6 Georgia lodge,London,L9W 7DA,2021-09-12,Online,Active,Email
1037,Jodie,Giles,jodie.giles@yahoo.co.uk,,"Flat 13S
Duncan camp",Manchester,S2D 2BD,2021-10-19,Telemarkating,Lapsed,Phone
1038,Carol,Phillips,carol.phillips@btinternet.com,,84 Owen curve,Port Valerieview,M29 0XL,2023-08-22,Telemarkating,Active,Phone
1039,Neil,Kaur,neil.kaur@hotmail.co.uk,0161 4960884,37 Cook crossing,Birmingham,N54 6PF,2021-11-20,Telemarkating,Active,Post
1040,Christian,Clark,christian.clark@yahoo.co.uk,+44(0)121 4960391,"Flat 21
King fall",Frankview,E7W 0EZ,2024-02-21,Telemarkating,Deceased,Email
1041,Kayleigh,Mitchell,kayleigh.mitchell,+441632 960175,8 Brown stravenue,London,N85 3TA,2021-01-01,Online,Active,Email
1042,Graham,Browne,graham.browne@gmail.com,01632 960945,"Studio 23L
Hilary track",Birmingham,E6 2EP,2024-12-12,Telemarkating,Lapsed,Email
1043,Dorothy,Winter,dorothy.winter@outlook.com,0116 4960062,8 Wright curve,Manchester,OX6 7LH,2023-05-16,Direct Mail,Active,Email
1044,Leah,Hardy,leah.hardy,+44(0)28 9018470,"Flat 8
Conor mission",London,B8 7HH,2021-08-08,Online,Active,Phone
1045,Liam,Thompson,liam.thompson@gmail.com,(0113)4960929,"Studio 15t
Chambers knolls",West Patrick,M2E 2GS,2022-09-08,Direct Mail,Active,Post
1046,Ryan,Porter,ryan.porter@hotmail.co.uk,+44(0)114 496 0756,"Flat 9
Lowe hollow",Sheffield,SK0 3PG,2022-01-21,Legacy,Lapsed,None
1047,Lesley,Robinson,lesley.robinson@gmail.com,+44118 496 0766,"Flat 82
Smith field",Manchester,DT38 2UQ,2022-09-10,Direct Mail,Active,Email
1048,Amber,Howard,amber.howard@yahoo.co.uk,(028)9018976,"Flat 93
Zoe trafficway",Bondton,SW19 1WY,2022-07-01,Online,Active,Post
1049,Shane,Cook,shane.cook@hotmail.co.uk,(028) 9018 0491,"Flat 3
Denis tunnel",Leeds,W6 6XE,2023-05-06,Online,Active,Email
1050,Gordon,O'Connor,gordon.o'connor,,620 White park,Liverpool,BD3N 4PS,2024-08-19,Online,Active,Email
1051,Paul,Goodwin,paul.goodwin@btinternet.com,(0115) 4960637,"Studio 61
Mark haven",Lake Ameliachester,BL2 8HP,2023-11-11,Legacy,Active,Email
1052,Jonathan,Nash,jonathan.nash@gmail.com,+44(0)118 496 0480,"Studio 05
Stephenson manor",London,LD4X 4BW,2023-10-25,Event,Active,Email
1053,Jacob,Thomas,jacob.thomas@outlook.com,(020)74960751,"Flat 37O
Jay circle",Port Suzanne,CA6 7UR,2024-01-05,Direct Mail,Lapsed,Post
1054,Jane,Chapman,jane.chapman@btinternet.com,,"Studio 76a
Marshall point",South Stanleytown,S6 4ZX,2023-07-12,Direct Mail,Active,Email
1055,Emma,Taylor,emma.taylor@yahoo.co.uk,01614960863,"Studio 16
Oliver junction",Eleanorborough,B63 7ET,2024-05-30,Online,Lapsed,Email
1056,Elaine,Douglas,elaine.douglas@outlook.com,0289018550,"Flat 9
Gould green",Leeds,N9T 1FE,2020-09-08,Direct Mail,Active,Post
1057,Alice,Freeman,alice.freeman@gmail.com,,785 Howard lights,Stewartland,E4 3ET,2020-06-16,Direct Mail,Active,Email
1058,Alan,Berry,alan.berry@gmail.com,+44113 496 0833,473 Denis mills,East Howard,SO2 1YD,2023-02-11,Online,Active,Post
1059,Josephine,Barnes,josephine.barnes@gmail.com,+44(0)121 4960363,"Flat 98
Kimberley isle",Bristol,G2 1GU,2022-06-25,Telemarkating,Active,Email
1060,Kieran,Power,kieran.power@btinternet.com,(028)9018197,545 Dennis throughway,Riceberg,ME9P 5LW,2022-05-22,Online,Lapsed,Phone
1061,Hugh,Moran,hugh.moran@btinternet.com,,"Studio 56
Anne ridge",Timothyborough,YO3 8RQ,2024-07-29,Online,Lapsed,Post
1062,Jack,Carter,jack.carter@outlook.com,+44161 496 0334,"Flat 3
Lynn ramp",London,WC1 3HJ,2024-12-02,Direct Mail,Lapsed,Post
1063,Marian,Fowler,marian.fowler@yahoo.co.uk,+44114 496 0272,34 Sims loop,Lake Benjaminland,DE6X 7QR,2021-09-14,Online,Active,Phone
1064,Leanne,Harvey,leanne.harvey@yahoo.co.uk,01164960208,32 Ruth fall,Manchester,B3 5HW,2024-02-11,Event,Active,Email
1065,Joe,Davison,joe.davison@gmail.com,+441184960153,3 Heather stravenue,Leeds,LZ75 4UZ,2022-06-08,Event,Active,Phone
1066,Jonathan,Campbell,jonathan.campbell@outlook.com,+44(0)28 9018950,33 Booth court,Manchester,L6 1ND,2024-12-10,Event,Lapsed,Post
1067,Jayne,Carter,jayne.carter@hotmail.co.uk,+44306 9990997,"Studio 02a
Houghton alley",London,S8 4HB,2020-09-19,Online,Active,Phone
1068,Jodie,Kennedy,jodie.kennedy@outlook.com,0131 4960246,804 Aaron inlet,Bristol,MK5M 4BH,2023-02-28,Online,Active,Email
1069,Alex,Jenkins,alex.jenkins@outlook.com,,"Flat 16
Diane pines",Bristol,E86 1XP,2023-11-13,Online,Active,Email
1070,Mohammad,Shah,mohammad.shah@gmail.com,+4420 74960077,"Flat 84
Judith vista",Birmingham,W56 5EX,2023-06-24,Event,Active,Post
1071,Alexander,Scott,alexander.scott@yahoo.co.uk,(0191)4960875,"Flat 55T
Moore springs",Newcastle,B07 0NZ,2021-06-25,Event,Active,Email
1072,Debra,Todd,debra.todd@outlook.com,+44(0)113 496 0897,77 Glenn land,Birmingham,ST05 9JX,2022-10-30,Event,Active,Post
1073,Jeffrey,Turnbull,jeffrey.turnbull,+4429 2018157,"Flat 35
Smith estate",Newcastle,W00 4GU,2024-03-28,Event,Active,Post
1074,Diane,Connolly,diane.connolly@outlook.com,(01632) 960 062,30 Lee mills,Beverleyhaven,DE3 5WL,2020-01-01,Direct Mail,Active,Email
1075,Kenneth,Jones,kenneth.jones@hotmail.co.uk,+4420 74960676,"Flat 57
Ashley plains",Leetown,KT1W 9DX,2021-08-30,Legacy,Active,Email
1076,Brett,Smith,brett.smith@outlook.com,+44808 1570895,"Flat 94Y
Spencer trace",East Jack,E8B 0PW,2024-03-16,Event,Active,Post
1077,Maureen,Kelly,maureen.kelly@gmail.com,(01632) 960 080,"Flat 9
Naomi cape",Leeds,PE1W 6WX,2023-06-25,Direct Mail,Active,Email
1078,Cheryl,Newman,cheryl.newman@btinternet.com,02074960375,9 Stone falls,London,N8E 6FQ,2021-02-05,Event,Active,Email
1079,Geraldine,Carroll,geraldine.carroll@outlook.com,0121 4960628,"Flat 3
Ahmed ranch",Manchester,CL16 9VN,2020-11-13,Event,Lapsed,Email
1080,Beth,Gibbs,beth.gibbs@yahoo.co.uk,(0161)4960568,1 Connor cove,Liverpool,S7 9LQ,2024-04-15,Legacy,Active,Phone
1081,Harriet,Edwards,harriet.edwards@gmail.com,0118 496 0941,236 Chelsea keys,East Eleanor,CT9 5ZE,2022-10-25,Online,Active,Phone
1082,Sandra,Bryan,,0114 4960844,6 Page cliffs,East Edward,W61 9QU,2022-12-01,Legacy,Active,None
1083,Annette,Baker,annette.baker@outlook.com,+441154960259,"Flat 33
Melanie station",London,W5J 4BA,2024-10-22,Online,Lapsed,Email
